Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2016-05-21,00:00:00,5222,3104,12842.0000,1332,8219.0000,806,0.2206,0.2551,0.2396,0.2597,0.0166,0.0107,15894.0000,1634,10310.0000,1003,0.2731,0.3129,0.3005,0.3231,0.0273,0.0156
2016-05-22,00:00:00,10427,5232,33652.0000,3338,16555.0000,1619,0.2856,0.3201,0.2902,0.3094,0.0271,0.0139,39023.0000,3850,20102.0000,1939,0.3312,0.3692,0.3524,0.3706,0.0676,0.0258
2016-05-23,00:00:00,11241,5432,38845.0000,3771,17996.0000,1716,0.3044,0.3355,0.2981,0.3159,0.0274,0.0151,44604.0000,4297,21291.0000,2017,0.3496,0.3823,0.3527,0.3713,0.0751,0.0258
2016-05-24,00:00:00,9958,4434,33246.0000,3241,14112.0000,1325,0.2951,0.3255,0.2863,0.2988,0.0246,0.0129,38503.0000,3731,16839.0000,1582,0.3417,0.3747,0.3416,0.3568,0.0584,0.0218
2016-05-25,00:00:00,9606,5442,31381.0000,3060,18871.0000,1793,0.2890,0.3186,0.3126,0.3295,0.0246,0.0146,36338.0000,3528,21646.0000,2048,0.3347,0.3673,0.3586,0.3763,0.0539,0.0272
2016-05-26,00:00:00,9502,6473,29721.0000,2919,22975.0000,2164,0.2773,0.3072,0.3170,0.3343,0.0227,0.0160,34965.0000,3420,26217.0000,2470,0.3262,0.3599,0.3618,0.3816,0.0531,0.0340
2016-05-27,00:00:00,8704,5754,26113.0000,2625,18923.0000,1813,0.2679,0.3016,0.2963,0.3151,0.0277,0.0178,30802.0000,3078,22450.0000,2137,0.3159,0.3536,0.3515,0.3714,0.0471,0.0283
2016-05-28,00:00:00,4797,2567,11616.0000,1190,6031.0000,594,0.2165,0.2481,0.2165,0.2314,0.0156,0.0099,14314.0000,1453,7825.0000,767,0.2668,0.3029,0.2809,0.2988,0.0258,0.0145
2016-05-29,00:00:00,6186,2545,15545.0000,1597,6266.0000,623,0.2237,0.2582,0.2267,0.2448,0.0174,0.0097,19365.0000,1979,8063.0000,797,0.2786,0.3199,0.2917,0.3132,0.0321,0.0139
2016-05-30,00:00:00,10883,3964,33876.0000,3386,11777.0000,1144,0.2747,0.3111,0.2717,0.2886,0.0274,0.0114,40422.0000,3997,14288.0000,1379,0.3278,0.3673,0.3296,0.3479,0.0679,0.0190
